path,code,name,shape,color,front,back,shape_class,color_class,front_class,back_class
../data/img\199000383/199000383.jpg,199000383,알파본연질캡슐,기타,노랑|투명,-,-,0,4,0,1
../data/img\199000568/199000568.jpg,199000568,프로트린정,타원형,파랑,KOLON,-,8,20,582,1
../data/img\199000708/199000708.jpg,199000708,씨이멕스연질캡슐,타원형,갈색,D-WCEM,-,8,0,251,1
../data/img\199000939/199000939.jpg,199000939,샤젠캡슐,장방형,노랑,TGSAZEN,-,7,3,939,1
../data/img\199001012/199001012.jpg,199001012,보령아스트릭스캡슐100밀리그람,장방형,주황|투명,AST100,-,7,14,73,1
../data/img\199001080/199001080.jpg,199001080,뮤코스텐캡슐100밀리그램,장방형,초록,MKMU1,-,7,17,653,1
../data/img\199001232/199001232.jpg,199001232,원알파정,원형,하양,0.5,분할선,5,22,1,223
../data/img\199001505/199001505.jpg,199001505,쎄레톱씨연질캡슐,장방형,초록,SELETOP,-,7,17,831,1
../data/img\199001559/199001559.jpg,199001559,말레부틴정,원형,하양,DID,DID,5,22,284,89
../data/img\199002022/199002022.jpg,199002022,복합엘씨500연질캡슐,장방형,주황,복합LC-500,-,7,13,1196,1
../data/img\199002349/199002349.jpg,199002349,자믹정,원형,파랑,마크S,-,5,20,1169,1
../data/img\199100626/199100626.jpg,199100626,튜란트캡슐200밀리그램,장방형,초록,KLNTRTC,-,7,17,564,1
../data/img\199100632/199100632.jpg,199100632,튜란트캡슐100밀리그램,장방형,초록,KLNTRT1,-,7,17,563,1
../data/img\199100996/199100996.jpg,199100996,메카인정,원형,분홍,TG분할선MET,-,5,7,942,1
../data/img\199100998/199100998.jpg,199100998,소롤캡슐,장방형,초록,TGSR200,-,7,17,940,1
../data/img\199101135/199101135.jpg,199101135,스파맥정,장방형,노랑,SPM,I분할선Y,7,3,887,115
../data/img\199101970/199101970.jpg,199101970,크레닉정125밀리그람,원형,주황,DID,125,5,13,284,7
../data/img\199102092/199102092.jpg,199102092,다이야펜정400밀리그램,장방형,주황,-,마크DF,7,13,0,216
../data/img\199102270/199102270.jpg,199102270,말릭스정,원형,하양,PK분할선C,-,5,22,750,1
../data/img\199102275/199102275.jpg,199102275,포린피아정,타원형,파랑,P분할선K,-,8,20,768,1
../data/img\199102276/199102276.jpg,199102276,파비스암브록솔염산염정,원형,하양,PHARVIS,-,5,22,740,1
../data/img\199102384/199102384.jpg,199102384,세록센정,장방형,하양,SNS,-,7,22,881,1
../data/img\199102447/199102447.jpg,199102447,영풍알마게이트정500밀리그램,장방형,하양,SVS,분할선,7,22,902,223
../data/img\199200354/199200354.jpg,199200354,스피자임정,장방형,연두,ΛPG,-,7,11,1097,1
../data/img\199200475/199200475.jpg,199200475,누코미트캡슐200밀리그램,장방형,노랑,NUC200,-,7,3,721,1
../data/img\199201048/199201048.jpg,199201048,스파탐캡슐200밀리그램,장방형,노랑,SP200MIP,-,7,3,884,1
../data/img\199201049/199201049.jpg,199201049,모아칼연질캡슐,장방형,초록,MorecalMIP,-,7,17,690,1
../data/img\199201106/199201106.jpg,199201106,알드린정,원형,하양,ALT,-,5,22,45,1
../data/img\199201154/199201154.jpg,199201154,토파제정,장방형,연두,MKTF,-,7,11,656,1
../data/img\199202273/199202273.jpg,199202273,에바치온캡슐,장방형,노랑,CHO-AEVA,-,7,3,177,1
../data/img\199202281/199202281.jpg,199202281,조아디오스민캡슐,장방형,초록,CHO-ADIO,-,7,17,176,1
../data/img\199202495/199202495.jpg,199202495,케이엠에스알마게이트정,장방형,하양,KMS,L2,7,22,567,123
../data/img\199300217/199300217.jpg,199300217,종근당알벤다졸정,타원형,주황,CKD,분할선,8,13,183,223
../data/img\199300255/199300255.jpg,199300255,우노바캡슐,장방형,검정,DPCWNV,-,7,2,297,1
../data/img\199300758/199300758.jpg,199300758,트라몰정160밀리그람,원형,노랑,KOLON,T분할선R,5,3,582,178
../data/img\199300891/199300891.jpg,199300891,세토펜정,장방형,하양,마크,분할선,7,22,1137,223
../data/img\199300892/199300892.jpg,199300892,세토펜정80밀리그램,장방형,분홍,마크,분할선,7,7,1137,223
../data/img\199300928/199300928.jpg,199300928,아세락캅셀200밀리그람,장방형,파랑,ACERACACERAC,-,7,20,25,1
../data/img\199301093/199301093.jpg,199301093,바스칼캡슐,장방형,주황,TGBSC,-,7,13,930,1
../data/img\199301198/199301198.jpg,199301198,비오라민정,타원형,빨강,BO,마크,8,9,124,214
../data/img\199301549/199301549.jpg,199301549,아세르정,원형,하양,AER,분할선,5,22,30,223
../data/img\199301968/199301968.jpg,199301968,디크로닉정250밀리그램,원형,파랑,마크,DC250,5,20,1137,86
../data/img\199302027/199302027.jpg,199302027,아록솔정,원형,하양,BC,AB분할선30,5,22,103,28
../data/img\199302106/199302106.jpg,199302106,속엔쿨정,장방형,연두,ASF,-,7,11,69,1
../data/img\199302175/199302175.jpg,199302175,이텍스암브록솔정,원형,하양,ETX,A분할선B,5,22,338,43
../data/img\199302401/199302401.jpg,199302401,소롤캡슐200밀리그램,장방형,연두,PKPPKP,-,7,11,748,1
../data/img\199302512/199302512.jpg,199302512,파밀라제정,장방형,연두,PA,-,7,11,736,1
../data/img\199302514/199302514.jpg,199302514,알파아세트아미노펜정500밀리그람,장방형,노랑,alpha,분할선,7,3,1087,223
../data/img\199302515/199302515.jpg,199302515,리오루펜정400밀리그람,장방형,하양,alpha,분할선,7,22,1087,223
../data/img\199302666/199302666.jpg,199302666,뮤텐캡슐200mg,장방형,초록,GUJUMT200,-,7,17,401,1
../data/img\199400028/199400028.jpg,199400028,로이솔정,원형,하양,SP,ROS,5,22,883,152
../data/img\199400202/199400202.jpg,199400202,판피린티정,장방형,하양,PANT,분할선,7,22,738,223
../data/img\199400581/199400581.jpg,199400581,어린이용타스펜정160밀리그램,원형,노랑,PT분할선160,-,5,3,762,1
../data/img\199400823/199400823.jpg,199400823,아이코민연질캡슐,타원형,갈색,TBCS,-,8,0,923,1
../data/img\199400891/199400891.jpg,199400891,알콤정,사각형,분홍,A,I분할선Y,2,7,16,115
../data/img\199401025/199401025.jpg,199401025,지노칼정,장방형,하양,GNC,분할선,7,22,390,223
../data/img\199401030/199401030.jpg,199401030,삼남아세트아미노펜정,원형,하양,AA3,분할선,5,22,19,223
../data/img\199401186/199401186.jpg,199401186,무테린캡슐200밀리그램,장방형,파랑,UTACTC200,-,7,20,981,1
../data/img\199401316/199401316.jpg,199401316,세리콘정,장방형,하양,Wal26,-,7,22,1030,1
../data/img\199401319/199401319.jpg,199401319,나로펜정,장방형,파랑,Wal02,-,7,20,1027,1
../data/img\199401734/199401734.jpg,199401734,화니돌0,타원형,노랑|투명,YPP,-,8,4,1072,1
../data/img\199403378/199403378.jpg,199403378,에이프로젠나프록센나트륨정,장방형,파랑,CGP,16,7,20,166,10
../data/img\199500435/199500435.jpg,199500435,엘도스캡슐,장방형,초록,DWELC,-,7,17,306,1
../data/img\199500466/199500466.jpg,199500466,트라몰정325밀리그람,원형,하양,KOLON분할선PHARM,-,5,22,583,1
../data/img\199500536/199500536.jpg,199500536,셀라펜정,장방형,하양,AL,SF,7,22,40,158
../data/img\199500850/199500850.jpg,199500850,바르젠정,원형,주황,BP,-,5,13,126,1
../data/img\199501099/199501099.jpg,199501099,게루삼엠정,원형,하양,AHG,-,5,22,37,1
../data/img\199501234/199501234.jpg,199501234,대원알마게이트정,장방형,하양,마크,AG,7,22,1137,30
../data/img\199501262/199501262.jpg,199501262,한국유나이티드산화마그네슘정250mg,원형,하양,SM,UT,5,22,868,182
../data/img\199501694/199501694.jpg,199501694,이바펜400밀리그람정,장방형,하양,DID,DIP,7,22,284,90
../data/img\199501735/199501735.jpg,199501735,넬슨이부프로펜정200밀리그램,원형,주황,KNP,-,5,13,581,1
../data/img\199501736/199501736.jpg,199501736,넬슨이부프로펜정400밀리그램,타원형,주황,NELSON,-,8,13,701,1
../data/img\199501748/199501748.jpg,199501748,바이메틴정,원형,하양,ETX,BE,5,22,338,52
../data/img\199501767/199501767.jpg,199501767,벡크정,장방형,분홍,SD,분할선,7,7,825,223
../data/img\199501944/199501944.jpg,199501944,신일폴산정,원형,노랑,1000,-,5,3,6,1
../data/img\199501953/199501953.jpg,199501953,신일티아민염산염정10밀리그램,원형,하양,10,SIL,5,22,3,160
../data/img\199501954/199501954.jpg,199501954,신일클로닉신리시네이트정,원형,하양,C,SIL,5,22,142,160
../data/img\199501958/199501958.jpg,199501958,판디탈정,장방형,연두,PANDITAL,-,7,11,737,1
../data/img\199502575/199502575.jpg,199502575,삼익이부프로펜정,장방형,주황,마크,IBF,7,13,1137,111
../data/img\199600087/199600087.jpg,199600087,뮤코세린캅셀,장방형,노랑,HTMCS,-,7,3,441,1
../data/img\199600089/199600089.jpg,199600089,휴텍스에이에이피정325밀리그람,원형,하양,마크,-,5,22,1137,1
../data/img\199600201/199600201.jpg,199600201,카네마졸질정100mg,기타,하양,DPC,K,0,22,295,119
../data/img\199600203/199600203.jpg,199600203,동광알마게이트정,장방형,하양,마크,-,7,22,1137,1
../data/img\199600246/199600246.jpg,199600246,베스자임정,타원형,분홍,BSZT,-,8,7,134,1
../data/img\199600328/199600328.jpg,199600328,바로닉신정125밀리그램,원형,하양,CGPBN,-,5,22,169,1
../data/img\199600367/199600367.jpg,199600367,판키아제정,장방형,초록,IDP,P,7,17,464,146
../data/img\199600559/199600559.jpg,199600559,제일알맥스정500밀리그람,원형,하양,AMX,-,5,22,50,1
../data/img\199600581/199600581.jpg,199600581,바이탈씨에프정,원형,노랑,YH,V-C,5,3,1043,185
../data/img\199600597/199600597.jpg,199600597,알게나정,장방형,하양,KLNAL,-,7,22,562,1
../data/img\199600625/199600625.jpg,199600625,루트펜325밀리그램정,원형,하양,마크,325,5,22,1137,15
../data/img\199600669/199600669.jpg,199600669,타스멘정,원형,하양,TSM,분할선,5,22,957,223
../data/img\199600770/199600770.jpg,199600770,세토펜정325밀리그램,원형,하양,SAMA,분할선,5,22,811,223
../data/img\199600913/199600913.jpg,199600913,소담캡슐200mg,장방형,주황,SCDSD,-,7,13,822,1
../data/img\199600953/199600953.jpg,199600953,알파시돌연질캡슐0,타원형,주황,AGP,-,8,13,35,1
../data/img\199601068/199601068.jpg,199601068,하이라제정,원형,하양,H,마크,5,22,404,214
../data/img\199601312/199601312.jpg,199601312,삼남아세트아미노펜정500밀리그람,장방형,하양,AA5,분할선,7,22,20,223
../data/img\199601337/199601337.jpg,199601337,아스타펜정160밀리그람,원형,하양,ATP,분할선,5,22,78,223
../data/img\199601338/199601338.jpg,199601338,아스타펜정325밀리그람,장방형,하양,ATP,분할선,7,22,78,223
../data/img\199601520/199601520.jpg,199601520,복합파자임이중정,타원형,갈색,PΛZ,-,8,0,766,1
../data/img\199601838/199601838.jpg,199601838,후바후바정,장방형,초록,마크,GTH,7,17,1137,106
../data/img\199601956/199601956.jpg,199601956,아시틴캡슐,장방형,파랑,Acytin,-,7,20,82,1
../data/img\199602082/199602082.jpg,199602082,우리들아세틸시스테인캡슐200mg,장방형,파랑,SUDOSUDOACTACT,-,7,20,898,1
../data/img\199602310/199602310.jpg,199602310,파비스염산메클리진정,원형,주황,150KHPC,분할선,5,13,7,223
../data/img\199602312/199602312.jpg,199602312,푸리타제정,장방형,연두,PK,-,7,11,741,1
../data/img\199602374/199602374.jpg,199602374,아세테인캡슐200밀리그램,장방형,주황,KDAcetein,-,7,13,540,1
../data/img\199602408/199602408.jpg,199602408,인테스캡슐200mg,장방형,파랑,CPK인테스,-,7,20,213,1
../data/img\199602668/199602668.jpg,199602668,무스판정,장방형,하양,마크,MSP분할선500,7,22,1137,138
../data/img\199602733/199602733.jpg,199602733,알게마정,장방형,하양,마크,AGM,7,22,1137,31
../data/img\199602745/199602745.jpg,199602745,세틸란캡슐200mg,장방형,초록,마크CTL200,-,7,17,1146,1
../data/img\199603130/199603130.jpg,199603130,씨씨콤연질캡슐,타원형,주황,씨씨콤,-,8,13,1212,1
../data/img\199603333/199603333.jpg,199603333,뮤시딘캡슐200밀리그램,장방형,파랑,DHNPMUC,-,7,20,283,1
../data/img\199700553/199700553.jpg,199700553,큐란정75밀리그램,오각형,분홍,ID,75,4,7,457,24
../data/img\199700756/199700756.jpg,199700756,삐콤씨에프정,타원형,갈색,YH,B-F,8,0,1043,48
../data/img\199700873/199700873.jpg,199700873,대우로라타딘정,타원형,하양,L분할선10,-,8,22,624,1
../data/img\199701024/199701024.jpg,199701024,콜핀정,장방형,주황,A분할선L,COP,7,13,93,75
../data/img\199701033/199701033.jpg,199701033,코나진정,장방형,하양,ALC,분할선,7,22,41,223
../data/img\199701099/199701099.jpg,199701099,알메텍정,타원형,하양,SNP,분할선,8,22,870,223
../data/img\199701224/199701224.jpg,199701224,애니탈삼중정,원형,하양|갈색,AG,A,5,23,31,26
../data/img\199701227/199701227.jpg,199701227,노타민정,타원형,하양,Λ분할선G,NT,8,22,1104,145
../data/img\199701234/199701234.jpg,199701234,투렌정,원형,빨강,TGN,-,5,9,936,1
../data/img\199701242/199701242.jpg,199701242,태극탄산칼슘정,원형,하양,TGCCT,-,5,22,931,1
../data/img\199701269/199701269.jpg,199701269,센티펙정,원형,하양,J분할선C,-,5,22,524,1
../data/img\199701385/199701385.jpg,199701385,셀마겐정,장방형,하양,MKSM,-,7,22,655,1
../data/img\199701398/199701398.jpg,199701398,아루텍정,장방형,하양,M분할선K,AT,7,22,694,40
../data/img\199701416/199701416.jpg,199701416,리도펜연질캡슐,타원형,초록|투명,MKLP,-,8,18,652,1
../data/img\199701488/199701488.jpg,199701488,로비탈연질캡슐,장방형,갈색,로비탈,-,7,0,1124,1
../data/img\199701900/199701900.jpg,199701900,알티린정,타원형,하양,마크,CT,8,22,1137,77
../data/img\199701908/199701908.jpg,199701908,알러텍정,장방형,하양,KDC,ALT,7,22,541,32
../data/img\199701967/199701967.jpg,199701967,로텍정,장방형,하양,YI분할선3,-,7,22,1056,1
../data/img\199702105/199702105.jpg,199702105,코졸텍정,장방형,하양,CL,분할선,7,22,186,223
../data/img\199702118/199702118.jpg,199702118,레디비타정,장방형,갈색,NELSON,-,7,0,701,1
../data/img\199702177/199702177.jpg,199702177,로리딘정,타원형,하양,ETX,L분할선D,8,22,338,126
../data/img\199702485/199702485.jpg,199702485,크로펜정,장방형,분홍,-,마크CF,7,7,0,215
../data/img\199702520/199702520.jpg,199702520,신일세티리진정,장방형,하양,CTZ,분할선,7,22,221,223
../data/img\199702527/199702527.jpg,199702527,신일피리독신정,원형,하양,P분할선50,분할선,5,22,767,223
../data/img\199702566/199702566.jpg,199702566,스테신캡슐,장방형,노랑,NGP200,-,7,3,704,1
../data/img\199702618/199702618.jpg,199702618,로페랄연질캡슐,장방형,갈색,PK-A,-,7,0,742,1
../data/img\199702621/199702621.jpg,199702621,덴스민캡슐,장방형,초록,PK-BPK-B,-,7,17,743,1
../data/img\199702829/199702829.jpg,199702829,세리텍정,장방형,하양,STC,분할선,7,22,897,223
