품목일련번호,품목명,표시앞,표시뒤,의약품제형,색상,큰제품이미지
201000863,루마칼플러스연질캡슐,RMLP,-,장방형,갈색,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/148725977858300036
201001201,카엘정,CADAG,분할선,원형,분홍,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426479322700055
201001573,비타큐텐에프정,F10,AC,장방형,갈색,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426479322700111
201003571,로얄비타연질캡슐,DCVITA,-,장방형,갈색,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426497267800082
201006555,맥스케어알파정,SIMCα,-,장방형,노랑,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1NOwp2F6OgB
201006807,마이어스콕골드정,K.D,G,타원형,주황,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426523050600013
201006886,키드칼골드츄어블정,GH,-,원형,하양,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426523050600022
201007193,이지목플러스씨캡슐,이지목플러스,-,장방형,갈색,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1Mv12iojCbf
201007309,파워본연질캡슐,CGPPW,-,장방형,갈색,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/146031537943900099
201007341,오메코프에스캡슐,CGPOMFC,-,장방형,하양,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/151732680805000036
201007524,본엔디연질캡슐,IY본엔디,-,장방형,갈색,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426528014500035
201100502,터논연질캡슐(덱시부프로펜),TON,-,장방형,파랑|투명,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426528014500196
201003989,파워콜에스연질캡슐,D-Wpws,-,장방형,빨강,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1MeGuNe7Nqa
201003954,하드코프캡슐,MMHC,-,장방형,초록,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426502377200039
201003955,헬씨민큐연질캡슐,DCHCM,-,장방형,갈색,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426502377200045
201004043,코텐파워연질캡슐,Co10P,-,장방형,갈색,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/154333336303100018
201004044,파워톤연질캡슐,DKPP0,-,장방형,갈색,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426502377200063
201004587,애드민정,PU,-,원형,노랑,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1NC9tOLKPrF
201005773,하이스펜연질캡슐(이부프로펜),RP-IP,-,타원형,초록|투명,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/154661654875400077
201005799,콘탑스연질캡슐,CONTS,-,타원형,갈색,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426514911200067
201006075,판시딜캡슐,판시딜판시딜,-,장방형,초록,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426514911200081
201103627,미그펜400연질캡슐(이부프로펜),RPMGF,-,타원형,파랑|투명,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1O2N2RQumE7
201103628,스피딕400연질캡슐(이부프로펜),KDS400,-,장방형,투명,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/148864205722200187
201103677,속콜코프엘연질캡슐,IYL,-,타원형,빨강|투명,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426555198900159
201103683,속콜플러스연질캡슐,IYSCP,-,장방형,빨강,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/154298772606600082
201103986,후라베린큐엑스정,IDPQ,-,원형,초록,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/154298772606600064
201104019,아웃콜코정,L분할선L,-,장방형,파랑,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/154298772606600100
201104267,스피콜드연질캡슐,스피콜드,-,장방형,빨강|투명,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426559700200129
201104314,아웃콜목골드캡슐,아웃콜목,-,장방형,노랑,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147978952750300136
201104359,스카풀라정,SCT,-,원형,하양,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426559700200135
201104519,목기천연질캡슐,MGC,-,타원형,초록|투명,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1MdYV-PxYoa
201104795,키즈하이츄어블정,GHF,-,원형,노랑,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426564858700011
201104871,본에킹연질캡슐,BGD,-,장방형,검정,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/148725977858300060
201105016,브레핀에스연질캡슐(이부프로펜),브레핀s,-,타원형,청록|투명,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426564858700037
201105149,메가클린연질캡슐,MMG,-,타원형,빨강|투명,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1NOwp2F6LHm
201105150,클린파워연질캡슐,MMCL,-,타원형,갈색|투명,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426564858700068
201101004,칼트레이트디400,Caltrate,4D분할선600,타원형,분홍,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1NCzXnoXFBe
201101007,콘도비타300연질캡슐,YJCDV,-,장방형,갈색,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1NOwp2F6NAO
201101014,칼디업츄어블정,HS,CLD,원형,하양,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/154595757329200030
201101491,비타알부골드정,I분할선Y,IYAL,장방형,갈색,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/152035087393900081
201101576,미리코프연질캡슐,미리코프,-,장방형,주황|투명,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426543658200084
201101801,타이푸푸연질캡슐,타이푸푸,-,장방형,파랑|투명,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1O0bxj5Fk1v
201101833,타이쿨에프연질캡슐,타이쿨에프,-,장방형,빨강|투명,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1MsgmkGVc_F
201101451,알부골드연질캡슐,SNPBG,-,장방형,갈색,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/146030922817200035
201102069,미로틱필름코팅정,CAMD,-,장방형,노랑,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426549018000061
201102482,쎄라투연질캡슐,SNPCT,-,장방형,갈색,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426549018000094
201102618,미리콜연질캡슐,미리콜,-,장방형,청록|투명,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426549018100012
201102740,바실로비정,CACM,-,타원형,하양,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426549018100041
201102749,서클베인장용정75밀리그램(아스피린),ASP75,-,원형,하양,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426549018100044
201103116,뉴콘틴연질캡슐,KSNC,-,장방형,주황,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/146031223025500028
201103161,메가600정,T분할선Λ,-,장방형,빨강,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1NXGIZYt1z4
201103356,하노백플러스정,DAHP,-,장방형,하양,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426555198900017
201103366,한솔이부프로펜연질캡슐,HIBFS,-,타원형,청록|투명,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426555198900023
201106789,폴엔정(폴산),SI,4,원형,노랑,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/154298778984500057
201109596,더블락캡슐,더블락더블락,-,장방형,주황,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426587165200087
201109442,화콜클래식원연질캡슐,화콜,-,타원형,갈색,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426587165200090
201109826,메가콘사민-에프연질캡슐,ET-JF,-,타원형,빨강,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/154661645880000075
201108206,폴리아린에프캡슐,폴리아린에프,-,장방형,노랑,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426587165200136
201110001,브롬콜골드연질캡슐,GOLD-B,-,타원형,노랑|투명,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1NOwp2F6NBW
201110120,트리스펜연질캡슐(이부프로펜),D-WIB,-,타원형,노랑|투명,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/154661645880000045
201110262,신일니코틴산아미드정,SIL,A분할선X,장방형,주황,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147765867288000112
201110192,체스판-에스정,SRP,분할선,장방형,초록,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426592401600000
201110424,본스칼츄어블정,CΛC,-,원형,하양,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/154653003766800067
201110467,브롬콜레드연질캡슐,RED-B,-,타원형,빨강|투명,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1NOwp2F6NDC
201110563,폴시드정0.4밀리그램(폴산),CΛF,-,원형,노랑,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426592401600075
201110661,훼리맘큐연질캡슐,KDFQ,-,타원형,검정,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426592401600084
201110747,이부플러스생정,J분할선W,-,타원형,파랑,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426592401600096
201110744,비타미니아정,D-W,BTM,타원형,노랑,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/149723197859900003
201108893,비바원정,CA분할선MM,분할선,기타,분홍,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426581382500026
201108895,키토실츄어블정,GHL,-,원형,노랑,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/154298772606600004
201205251,애드민포르테정(콜레칼시페롤과립),PNX,분할선,마름모형,하양,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426616587000013
201205362,크레온캡슐25000(판크레아스분말),C25,-,장방형,빨강,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426616587000035
201205364,크레온캡슐40000(판크레아스분말),C40,-,장방형,갈색,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426616587000038
201205447,디카테오정,마크분할선CT,-,장방형,하양,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1NdqgsHv8cQ
201205838,래피콜데이앤나잇연질캡슐,RPCDay,-,타원형,빨강|투명,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426616587000149
201205653,콘티600정,MTS-6,분할선,타원형,갈색,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/146031639075400148
201206056,엑세라민비정,IDE,분할선,타원형,주황,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/146032774713800050
201206118,벤포라민정,VL,분할선,타원형,주황,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/146031828436400178
201206247,제텐비정,VTB,분할선,타원형,노랑,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426622886300066
201206250,뮤코테라트로키제(암브록솔염산염),ETX,-,원형,하양,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426622886300069
201206327,슈가펜에스정,마크,S분할선1,타원형,분홍,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1NOwp2F6Ei5
201206328,써모펜에스정,T분할선S,마크,원형,연두,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1NOwp2F6Eix
201200204,비타맥스정,MTS,VM,장방형,주황,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426592401600191
201200854,비코그린에스정,C1,-,원형,연두,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/148674126111200164
201200930,자임큐텐연질캡슐,자임큐텐,-,타원형,빨강,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1Md8mOUAc5Q
201201051,삐콤씨이브정,B분할선E,YH,타원형,갈색,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/154298782012500043
201201680,겔티-포르테연질캡슐,YPA,-,타원형,빨강,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426597943600165
201202718,포인타민정,SCD,VTP,장방형,갈색,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/146031933683100056
201202780,위제로정,마크,-,원형,노랑,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1NXf6oqKsn3
201202902,셀비콤연질캡슐,ETXSBC,-,타원형,검정,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426604172000104
201203095,알마딘정,PNX,-,원형,노랑,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426609286000013
201204675,피엠지폴산정,PU,12,원형,노랑,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/153884041574300010
201205043,고운자임맘정,마크,Mom,기타,분홍,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1MaQuqD9cOG
201205150,위스날정,WS,-,원형,하양,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/152285649754900032
201206484,속편아제정,P-D,-,장방형,연두,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/149723232496800082
201206493,웰다운에스정,WD,SD,원형,하양,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/146030846052500008
201206499,알게론정500밀리그램(알마게이트),마크,D04,원형,하양,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/146032189789500120
201206572,메가트루정,YH,B-UP,타원형,노랑,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/153737160356100033
201206575,류마600정,MTS-7,분할선,장방형,갈색,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/149723220784500020
201207692,바이타액트정,IY,-,장방형,갈색,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426633330100159
201208281,아스테린정(아스피린),SW,ΛS,원형,하양,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426639351800017
201208419,도담도담츄어블정,I♡U,-,원형,노랑,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/152188712226700049
201208753,빅시딘정75밀리그램(니자티딘),B,K,원형,하양,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1NXGIZYt1-3
201206706,센스리베정,-,-,원형,하양,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426628044100003
201206724,에카린에이정,K.D,분할선,장방형,파랑,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/146032135556200038
201206776,뮤코텍캡슐200밀리그램(아세틸시스테인),AGACC,-,장방형,파랑,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/146030990319000099
201206828,벤포메가정,BFT,-,타원형,빨강,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/146031588583700076
201206882,파비안에스정,마크,분할선,장방형,노랑,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/146031946255000164
201206916,슬렌페드씨정,AG분할선SR,-,타원형,주황,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426628044100102
201207012,지아이지정75밀리그램(라니티딘염산염),GI,75,원형,주황,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/152008545029500037
201206997,삐콤씨정,B+C,YH,타원형,분홍,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/152285649754900020
201207054,와이디1000연질캡슐,YD-1,-,타원형,자주,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1NOwp2F6NFP
201207377,글로덱시정300mg(덱시부프로펜),KG분할선DE,-,장방형,분홍,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/146032875586500005
201303988,빅톤에프연질캡슐,SIVCTF,-,타원형,빨강,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/151508042749000121
201303989,디카엠정,MJ,1,원형,분홍,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426676298300011
201304742,암브론정30mg(암브록솔염산염),CΛ분할선ΛM,-,원형,하양,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1MksuF0DXjJ
201305831,제트-유정,ZU,-,장방형,연두,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/154298772606600088
201306063,밸런비타연질캡슐,BLVITA,-,타원형,검정,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426683772100110
201306123,카메드정,CM,-,원형,분홍,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426683772100128
201306135,비타라민정,FB,-,원형,분홍,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426683772100131
201306176,파미딘정(파모티딘),FM,CKD,원형,연두,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426683772100157
201208874,임팩타민실버정,분할선,VB5,타원형,노랑,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426646089400039
201209010,더가드코와정장정,THK,-,원형,하양,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/146032653169300013
201210185,비타포린정,MJ,2,원형,분홍,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426652207800042
201210591,에이에스피장용정100mg(아스피린),마크,ΛS,원형,하양,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426652207800072
